"Sentences","Annotation","Legend"
"I thank Bennett for this debate, and I thank the voters for reading.",0,
"I do agree to a civil and semantic-free debate, and thank you for the opportunity allowing me to express my views once again on this subject.",0,
"Thank you, larz, for this Ultimate Team War debate, and thank you, readers, for taking the time to read it, and thank you, again, Maikuru, for monitoring this debate.",0,
".. .. )6) The two party system does work7) Independent parties sometimes do win electionsI thank the Con for the debate and I thank the voters for reading :)",0,
"Hi, I would like to first admit this is my first debate, and thank you for participating with me.",0,
"As this does not affect my argument in the slightest, it doesn't affect the debate, but I do thank pro for pointing it out.",0,
"I will end this debate with a thank you to everyone for this deabte!",0,
"Pro, thank you for a quality debate and thank you for not forfeiting!",0,
"I end my part in the debate, thank you for debating me.",0,
"This is my first debate, and I thank Potatolover for sharing this moment with me.",0,
"SaintHavok, this was a wonderful debate, and I thank you for it.",0,
"The fact that you are specifically repulsed by the subject of God as opposed to some other subject is a clear indication that you are negatively obsessed with God -- you are constantly providing clear evidence in favor of my position in this debate, and for that, I thank you.",0,
"By the way, this is my first debate, so thank-you PoeJoe for the posts!",0,
"Also,as this is to be my last posting on my first debate,thank him for offering this opportunity.",0,
"These will all be used in my debate Thank you for this oppourtunity",0,
"Though I wish we could have had more of a debate, I thank the Instigator for bringing up this topic.",0,
"To whoever enters this debate, thank you and good luck.",0,
"I have enjoyed our debate, and I thank you for your time.",0,
"Conjecture I enjoyed this debate and thank Oromagi for playing the role of Con.",0,
"I congradulate my opponent on his first debate and thank him for the challenge.",0,
"I did not expect that forfeit, but it means I'll not be making the last video since it is unnecessary Thank you everyone who watched this debate and thank you Kasmic for accompanying me on my last debate here.",0,
"I hope to have a good debate with you, and I wish you luck.",0,
"I thank my opponent for the graceful concession and wish him luck in future debates.",0,
"I wish you luck and I hope we can have a respectful debate.",0,
"I wish him luck within this debate and tournament.",0,
"I than my opponent and wish him luck in the next round.",0,
"I hope that all is well with my opponent and wish him luck in future debates.",0,
"I thank Con for a great and very engaging debate, and wish her luck in the voting period.",0,
"I look forward to an interesting debate.",0,
"Cause: Event A causes Event B if the existence/occurrence of Event A mandates the existence/occurrence of Event B. I look forward to interesting debate.",0,
"I would like to wish con the best of luck in advance and I look forward to an interesting debate.",0,
"I accept this challenge, and I look forward to an interesting debate.",0,
"I think that is all, and I look forward to an interesting debate.",0,
"I accept my opponent's terms and look forward to an interesting debate.",0,
"I accept and look forward to an interesting debate.",0,
"I look forward to having a interesting debate and to see your points and arguments)",0,
"I thank CON for accepting and look forward to an interesting debate.",0,
"Thank you, and I look forward to an interesting debate!",0,
"Thanks, and I look forward to an interesting debate.",0,
"I look forward to having a very interesting debate with someone.",0,
"With that in mind I look forward to an interesting debate.",0,
"I look forward to an interesting debate on this subject with anybody who will challenge me in this regard.",0,
"As for my opponent in round 5, I would prefer that he/she not forfeit but instead put something along the lines of ""no arguments as agreed"" I look forward to an interesting debate!",0,
"I await my opponent's opening arguments and look forward to an interesting debate.",0,
"I gladly accept this challenge and I look forward to this interesting debate.",0,
"Thank you Con, I look forward to an interesting debate.",0,
"Good luck Sir/Madame, and I look forward to an interesting debate!",0,
"amoral - being neither moral or immoralR1: acceptanceR2: opening argumentsR3: rebuttalsR4: conclusionsI look forward to an interesting debate.",0,
"I'd like to accept your proposition and I look forward to an interesting debate!",0,
"My thanks to my opponent for presenting this challenge, and I look forward to an interesting debate with him.",0,
"I look forward to an interesting debate, and hope for a worthy challenger.",0,
"Good luck to him, and I look forward to an interesting debate.",0,
"Debate StructureRound 1: Pro's caseRound 2: Con's case and refutation, Pro rebuts Con's case and defendsRound 3: Con rebuts Pro's case and defends, Pro rebuts Con's case, defends and crystallizesRound 4: Con rebuts Pro's case, defends and crystallizes, Pro waives I look forward to an interesting debate.",0,
"I look forward to this interesting debate and i hope to see your argument.",0,
"I thank the readers for their time and look forward to a very interesting debate.",0,
"I await my opponent's argument and look forward to an interesting debate with him.",0,
"Good luck Mikal, I look forward to an interesting debate.",0,
".. .. .to whomever accepts; I look forward to an interesting debate.",0,
"By accepting the challenge, you have agreed to all of these terms and set-ups I look forward to an interesting debate!",0,
"I will allow my opponent to begin their argument and look forward to an interesting debate with a shared burden of proof.",0,
"Thank you for reading and I look forward to an interesting debate.",0,
"Again, thank you for the challenge and I look forward to an interesting debate.",0,
"Structure:Round 1-AcceptanceRound 2-CasesRound 3-RebuttalRound 4-Final Rebuttal/ConclusionI look forward to a very interesting debate, Cobo.",0,
"Once again, thank you to PRO and I look forward to an interesting debate!",0,
"Good luck, Kbub :D I look forward to an interesting debate!",0,
"I would like to thank mongeese for this challenge and look forward to an interesting debate.",0,
"#I look forward to an interesting debate.",0,
"Anyways, I look forward to an interesting debate.",0,
"I welcome my opponent and look forward to an interesting debate.",0,
"I look forward to an interesting debate and wish my opponent the best of luck.",0,
"I will be taking PRO's arguments in the final round into consideration seeing that he has been subject to unfair circumstances.",0,
"Closing arguments and final rebuttals Brief Intro: I am totally against any attack on Iran.",0,
"These following arguments are my final summary and conclusion.",0,
"I will however address this argument in its entirety during the next round, incorporating it into both my conclusive arguments and final rebuttals.",0,
"Round five: Each side will present his/her closing arguments and final pieces of evidence, refutation, ect.",0,
"Should he give any further arguments in his final round, I ask that the voter not count his arguments, as I will not be able to answer any of those arguments.",0,
"I hope my opponent decides to offer arguments in the final round, and I thank the audience for their patience.",0,
"I extend my arguments to the final round.",0,
"If my opponent fails to present any arguments in the final round, I will uphold my position in this debate as Con by showing the audience why I negate the resolution that Long skirts are not fashionable.",0,
"I will refute their arguments in this final round, sum up my own, and leave it at that.",0,
"As he has noted, I am bound by the terms of service not to include any additional arguments in my final round.",0,
"To maintain the same number of rebuttals for both parties, Con must agree not to make any arguments in the final round.6.",0,
"The second and third round are for arguments, while the final round is for concluding remarks.",0,
"Unfortunately though, Pro has only addressed 2 of my 8 arguments in his final round.",0,
"Con must present his opening argument with evidence to prove the Bible plagiarized pagan myths in round 1, but is not allowed to post any arguments in the final round (round 5).",0,
"If my opponent posts his final argument in the final round (if he decides to post anything), I reserve the right to post counter-arguments in the final round (as would normally be against code of conduct) as I would not be in a position to otherwise address (giving my opponent an unfair advantage).",0,
"Any additional arguments in final round from challenger are not included in debate.",0,
"I'm not going to add any arguments to this final round and will only point out some things regarding what my opponent said last round.",0,
"Unfortunately, my opponent did not post any arguments in the final round of this debate.",0,
"In round 4, we will present our final defense of our arguments, our final comments on our opponent's arguments, and will close.",0,
"+ Firstly, I urge my opponent to create no new sources or arguments in the final round, due to the fact that I could not respond.",0,
"I would summarise my arguments, but the final part of round 1 is as good a summary as I can make given the lack of progress in the debate.",0,
"Please extend my arguments to the final round.",0,
"More generally, a chain of arguments in which the final conclusion is a premiss of one of the earlier arguments in the chain.",0,
"While I should have confirmed this prior to the debate, I would prefer we use the second round for our arguments only, with the final round for rebuttals, but am quite happy for my opponent to set the general rules for this debate.",0,
"I will offer the sources for my arguments in the final round.",0,
"I await an interesting debate, Thank You.",0,
"I would also like to thank DDO for hosting the debate, and thank in advance anyone who votes on it.",0,
"I want to thank izbo10 for this debate and thank you (the reader) for spending time reading this debate.",0,
"Wrapping it Up This has been a most interesting debate, for that I thank PRO.",0,
"Thank you, Miles, for partaking in this interesting debate with me and thank you, members of the audience, for taking the time to read and enjoy it.",0,
"This has been a very enlightening and interesting debate, and I thank Keytarhero once again and wish him good luck.",0,
"I would like to thank Con again for debating this topic with me, and wish him luck in his writing his rebuttal.",0,
"Second, I thank you for starting this debate and wish you luck.",0,
"My thanks to my opponent for starting this debate, I wish him luck.",0,
"RR3) I anticipate the debate and wish you luck.",0,
"I look forward to this debate and wish you luck.",0,
"Any way I think my opponent for making this an LD debate and wish him luck in further rounds.",0,
"I'd like to thank larz for this entertaining debate and wish him luck with the rest of the tournament.",0,
"I accept my opponent's debate and wish him luck!",0,
"I thank lannan13 for taking the time to debate me, and wish him luck in his further arguments and debates.",0,
"Thanks again to my lovely opponent for accepting, and I wish you luck in this light-hearted debate!",0,
"I'd like to thank Pro for warning me of his absence ahead of time and wish him luck in the next round.",0,
"Hello everyone - this is my first debate so wish me luck :) Today I am here to debate the topic of Gun Control Laws Doing More Harm Than Good.",0,
"Thank you for the debate and I wish you luck.",0,
"I'd like to thank you for taking the side of the opposition, and wish you luck in the rounds ensuing.",0,
"=== I look forward to the debate, and I wish my opponent good luck.",0,
"I choose pro for this debate and wish my opponent good luck :P Well if you want me to start first, then im fine with it.",0,
"I would like to thank the readers, and wish my opponent good luck.",0,
"I look forward to a spirited debate, I wish my opponent good luck, and I hope he comes in second, LOL.",0,
"I look forward to a great debate and wish my opponent good luck.",0,
"With these basic postulates established, I wish my opponent good luck and may we have an interesting debate.",0,
"Thank you again for the wonderful debate and I wish my opponent good luck in his further studies and in this debate.",0,
"I llok forward to this debate, and wish my opponent luck.",0,
"I would like to thank the host for hosting this debate, and I would like to wish the opponent the best of luck.",0,
"I look forward to a good debate and wish my opponent the best of luck.",0,
"I look forward to this debate and wish my opponent the best of luck.",0,
"Its been fun participating in this debate, and I wish my opponent the best of luck.",0,
"I accept this debate and look forward to an interesting discussion.",0,
"Rules:In the first round Con will open the argumentIf anyone forfeits any round it will be an automatic 7 pointsVideo sources are allowedI look forward to a interesting debate!",0,
"I accept the debate challenge and look forward to an interesting debate.",0,
"I thank my opponent for creating this debate and look forward to an interesting discussion on this topic!",0,
"First, I would like to thank my opponent for accepting this debate and I look forward to having an interesting one.",0,
"I thank my opponent for this debate and look forward to an interesting one.",0,
"I accept this debate and look forward to an interesting challange.",0,
"I thank my opponent in advance for accepting this challenge and look forward to an interesting debate.",0,
"I would be glad to accept this debate, and I look forward to an interesting argument.",0,
"I thank my opponent for posting this debate, and look forward to a most interesting discussion.",0,
"I thank my opponent for the challenge and look forward to an interesting debate.",0,
"I look forward to an interesting and challenging debate, and good luck to both of us!",0,
"Debate StructureRound 1: AcceptanceRound 2: Pro's case, Con's case (no rebuttals)Round 3: Pro refutes and defends, Con refutes and defends (no new arguments) Round 4: Pro refutes, defends and concludes, Con refutes, defends and concludes (no new arguments) I look forward to an interesting debate.",0,
"By accepting the debate, you accept all rules and conditions, I look forward to an interesting debate!",0,
"First of all, I'd like to thank my opponent for creating what is sure to be a great debate, and look forward to an interesting experience.",0,
"I would first like to thank my opponent and look forward to an interesting debate.",0,
"I would like to wish my opponent the best of luck in the debate, and look forward to an interesting discussion.",0,
"I thank my opponent for the chance to debate this topic and look forward to an interesting debate.",0,
"I would like to thank my opponent for accepting and look forward to an interesting debate.",0,
"I look forward to an interesting and educational discussion (I accept this debate).",0,
"I thank my opponent for his interest and look forward to an interesting debate.",0,
"I will thank my opponent in advance and look forward to an interesting debate.",0,
"I wish to thank illegalcombat for commencing the debate and look forward to an interesting and lively debate.",0,
"No new arguments in the final round3.",0,
"Since my opponent did take the opportunity to make arguments in his R1, I will address some arguments here in the final round, but keep new arguments to a minimum.",0,
"#2 standard rules regarding dropped arguments apply #3 no new arguments in final rebuttals.",0,
"GOING TO THE 3D PRINTE""Anything after that should not be evaluated, unless he wants to bring these new arguments up in the final round (which will also be unfair because I can't make new arguments or offensive rebuttals in the final round because he can't respond to them.",0,
"And I expect us to follow the usual conduct of a debate where one does not introduce new arguments at the final round of the debate.",0,
"No new arguments in final and beginning round6.",0,
"I would like to make it very clear that my opponent is making new arguments in his final speech due to his refusal to make them sooner.",0,
"Rules - 1) Con presents his opening argument in round one and waives his final round2) Citations or footnotes may be provided in the comments section3) No semantics allowed4) Forfeiture is not allowed at any point of the debate5) No new arguments in the final round (Round three for con and round four for pro)6) The BoP is sharedRound structure - Round one - Con presents opening argumentsRound two - Opening arguments and rebuttalsRound three - Rebuttals Round four - Defense/Con waives final round",0,
"Well my opponent has brought up some new arguments in the final round, stuff that should have been brought up ealier to give me a fair chance.",0,
"It is common practice to disregard new arguments in the final round.",0,
"I'm going to rebut PRO's arguments, even though I'm not obligated to at this time since it's, again, illegitimate and unethical to initiate new arguments in the final round of debat.",0,
"No ad hominem attacks 2. no new arguments in final rebuttals.",0,
">), no new arguments in the final round, etc.",0,
"However, I too, will present new arguments in the final round so that we may cancel each other out.",0,
"Standard rules apply (i. e. no trolling, no semantics, sources posted in the debate, no new arguments in the final round, etc.",0,
"Con can't make new arguments in the final round.",0,
"I will be putting my defense of my opponent's weak rebuttals, and also my opponent cannot make new arguments in the final round.",0,
"RulesNo forfeitsAll citations must be provided in the text of the debateNo new arguments in the final roundViolation of any of these rules or of any of the R1 set-up merits a 7-point lossStructureR1: AcceptanceR2: Constructive CasesR3: RebuttalsR4: RebuttalsR5: Rebuttals and Summary Thanks.",0,
"ARGUMENTS:No new arguments; it is the final round and there is no need for any.",0,
"Round 1: Introduction and Opening ArgumentsRound 2: Arguments/RebuttalsRound 3: Arguments/RebuttalsRound 4: Arguments/RebuttalsRound 5: Rebuttals/Conclusion NOTE: No new arguments in the final round2.",0,
"My opponent offers new arguments in the final round which should be disregarded.",0,
"P. S: My opponent cannot make new arguments in the final round, as I will have no way to defend myself sense it's the final round.",0,
"No new arguments in the final speeches 4.",0,
"Since Pro posted new arguments in the final round, I will too.",0,
"First round is only to accept, no new arguments the final round, it wouldn't be fair.",0,
"No new arguments in the final round; R1 is just for acceptance4.",0,
"Out of respect for my opponent, I will not attempt to address any new arguments in this final round since she will not have the opportunity to respond.",0,
"This is unfortunate for Pro because Pro cannot post any new arguments in the final round, per rule I proposed in R1.",0,
"No NEW arguments in final round I've basically left this open for anyone March boldly into battle.",0,
"Then that means I have to rebut the Cost argument again, and I can't make new arguments in the final round, so it will be impossible.",0,
"No new arguments final rounds.",0,
"No new arguments in the final round, though extra explanations of arguments already explained is allowed; R1 is just for acceptance 4.",0,
"Resolution: Pornography is damaging to societyStructure:Round 1 - AcceptanceRound 2 - Opening StatementsRound 3 - RebuttalsRules:1) No hate speech/ slander2) No kritkiks3) No plagiarism4) No new arguments in final round5) Please use citations6) No forfeiture7) No troll arguments8) BoP is on ProTerms:Pornography - printed or visual material containing the explicit description or display of sexual organs or activity, intended to stimulate erotic rather than aesthetic or emotional feelings.",0,
"No new arguments in the final round.8,000 Character limit, although brevity is encouraged.",0,
"They did not provide a definition previously, so you should accept mine because of the unwritten rule not to add new arguments in the final chance to argue for either side.",0,
"No new arguments in the final round, And no rebuttal in the first round.",0,
"First round is acceptance, no new arguments in the final round.",0,
"Upon writing this rebuttal I tried to exclude any new arguments, so that this will be my final statement.",0,
"I request that we do NOT add new arguments in the final round of debate.",0,
"Pro claims he can respond with new arguments in the final round because doing so would merely be responding to existing arguments.",0,
"I will address his new arguments, although there should not be any change of arguments after this, as it is the final round and I will be unable to reply to them.",0,
"No new arguments in this final aff speech.",0,
"Rounds 3 and 4 will each be rebuttals with new arguments, and the final round will be final rebuttals with no new arguments.",0,
"I do not feel that it is right to add any new arguments in the final round, so I pass this round.",0,
"Of course, no argumentative support is actually provided in support of this point (remember, no new arguments in the final round).",0,
"And I already agreed to his voting paradigm, too, so there's no way for me to win this debate without introducing new arguments in the final round (either putting forth a negative case or advocating an alternative voting paradigm).",0,
"His argument, based of off that source has already been torn apart, and my opponent has brought new arguments in this final round.",0,
"No ad hominems 2. standard debate rules regarding new arguments in final speeches apply.",0,
"And given that the next round is the final round and we've agreed to not make any new arguments in the final round, this means he physically cannot respond to this.",0,
"Don't let him make new arguments in the final round.",0,
"If my opponent makes new arguments in the final round, I reserve the right to make new rebuttals.",0,
"No new arguments in the final round (except defending one's original arguments)4.",0,
"Don't let them go back and make responses to it in the final round because a) they've had chances to respond to these already and elected not to, thus making it their own fault, and b) it's unfair for me to have to cover new arguments in the final round where no one will be able to respond to what I say since the debate will be over.",0,
"And as I have debunked all of my opponent's counterpoints with plenty of arguments of my own left standing, I shall keep in good conduct and not introduce new arguments in this final round.",0,
"At the very least this is a breach of conduct and should lose you the conduct point and at the most your new arguments in the final round should not hold anymore weight on the debate than had you put them in the comment section, thus causing you to lose the debate.",0,
"Round 1 is acceptance (also inform us about your beleifs on religion and god) No New arguments in the final round.",0,
"This is a bold claim or relativism that requires a thorough defense, a defense which Con does not provide and may not provide in the final round- per the R1 rules of no new arguments in final round on pain of disqualification.",0,
"First round is acceptance only, and no new arguments in the final round (rebuttals and crystallization).",0,
"Debating convention dictates that there cannot be any new arguments in the final round, and judges shouldn't consider such arguments.",0,
"A rebuttal *is* an argument; that's why, for instance, saying ""no new arguments in the final round"" includes new rebuttals.",0,
"Structure: Round 1: Acceptance Round 2: Constructive (No rebuttals) Round 3: Rebuttals Round 4: Closing Arguments Definitions:continue to fund: give monetary aid at the same or an increased rateto fund militarily: to provide monetary aid for the purpose of helping advance Israel's military interests Notes: No new arguments in the final round.",0,
"Conclusion Going back in this debate you can see that at first the pro presented a very weak case and then abandoned this case and brought in new arguments in the final round.",0,
"The usual rule of no arguments in the final round still applies as always, first round is acceptance, and the opening rounds may include no rebuttals, in order to balance the debate.",0,
"Round 2: opening argumentsRound 3: rebuttals, possibly new argumentsRound 4: defense of original arguments, final rebuttals, no new arguments from either side",0,
"Yeah this structure is fine except that I would like to avoid new arguments in the final round and call that final round - round 4: Rebuttals and conclusion.",0,
"I will follow proper debate ettiquet and not post any new arguments in the final round.",0,
"Don't let him finally put a response to it in the last round because that's unfair to me to have to respond to new arguments in the final round.",0,
"Con and I cannot form new arguments in the final round, (my opponent's last round would be Round 2) only rebuttals and conclusions.",0,
"**Resolution: Resolved: Economic globalization is beneficialI will be taking the CON positionRules:No trollingNo kritiksNo semanticsNo forfeitsMaintain a civil and decorous atmosphereAny citations or foot/endnotes must be provided in the text of the debateNo new arguments in the final roundThe BoP is sharedFailure to comply to these stipulations or following round structure renders an automatic lossRound Structure:Round 1:Con - RulesPro - AcceptanceRound 2:Con - Opening ArgumentsPro - Opening ArgumentsRound 3:Con - RebuttalsPro - RebuttalsRound 4:Con - Defense & RebuttalsPro - Defense & RebuttalsLooking forward to a good debate!",0,
"I'll accept the debate and I thank Pro for the opportunity.",0,
"Firstly I would like to thank my opponent for excepting this debate, and thank the genius that came up with this quote, Albert Einstein.",0,
"I accept this debate, and thank backwardseden for the opportunity.",0,
